Frame,pointx,pointy,X,Y
71,274,136,-205.69033482001356,-118.95151329990078
72,305,142,-170.99863569844757,-104.96387850493274
73,326,152,-130.9635858704152,-104.49258172498861
74,361,157,-95.98253349335303,-87.17487658672168
75,412,167,-39.238084200479065,-66.65525945739839
76,451,174,2.7987874425754966,-51.17533125861244
77,486,178,34.95408524396822,-34.90872525946277
78,535,183,77.33655328120213,-12.845439086037388
79,573,187,110.64088276069633,2.3656710210164897
80,608,201,162.9207036046109,1.1507335205750069
81,660,209,215.25578397142047,17.527895939541875
