Frame,pointx,pointy,X,Y
69,524,310,315.61394954074404,-184.43185454784134
70,472,313,292.6225793940825,-219.90136059997792
71,424,310,262.9861502407414,-246.17627398076135
72,387,302,231.48567472041552,-260.09045539024476
73,307,287,169.75928527894337,-294.477668014703
74,265,277,123.04023231336853,-309.13177679103836
75,223,270,83.12194007490169,-329.28142969285915
76,197,258,49.48332290288451,-335.5764085705872
77,188,237,-2.0468836230697898,-316.6997679040641
78,183,222,-40.40451019189453,-301.6241149938689
79,183,207,-76.9889391109356,-282.8456721847044
80,181,188,-125.24108278805251,-260.3276373328024
81,185,172,-162.47826338658885,-236.8868787129865
82,187,160,-191.046937130962,-219.79590849891648
