Frame,pointx,pointy,X,Y
68,474,336,333.0483265791514,-243.34210745281703
69,539,305,316.6309900202347,-170.81018510575024
70,558,293,308.0968173122745,-148.66721296877688
71,598,276,305.53900281549994,-111.25643959187259
72,657,254,309.0984078846842,-55.7036583679512
73,698,238,307.61917121875274,-10.062831435677474
74,724,220,289.6474858733728,30.426830618546546
75,757,204,277.01885743190013,72.78728317598858
76,766,172,222.10063298918982,125.15788716183748
77,770,154,192.0742896940687,153.82429654861303
78,765,131,148.72619202291108,184.6769309863044
79,755,114,113.22408558326593,203.98505840402663
80,746,100,82.2525411511564,219.66258014017924
