Frame,pointx,pointy,X,Y
76,256,81,202.7400222993228,105.28884152384167
77,249,101,147.71442895038885,139.99572848852407
78,244,114,113.36871151989297,162.7289182611465
79,252,128,74.615495192209,173.99266761425616
82,357,180,-67.46290846798783,142.34274671261758
83,390,189,-93.91209965897943,123.57532122998192
84,436,202,-125.29694393914414,97.92736440334242
85,480,213,-147.90985989047823,71.63382278350454
87,583,242,-224.1259669715524,20.723340821805664
88,655,255,-266.67702420553275,-21.352465310018008
