pointx,pointy,valuex,valuey
845.0,219.0,-257.5,-233.4
723.0,145.0,-87.5,-233.4
511.0,266.0,-257.5,116.6
567.0,162.0,-87.5,-58.4
395.0,177.0,-87.5,116.6
299.0,113.0,87.5,116.6
220.0,65.0,257.5,116.6
378.0,52.0,257.5,116.6
679.8652768734637,242.48926797956392,-257.5,-58.4
1141.2694462530726,263.02146404087216,-427.5,-408.4
967.0,293.0,-427.5,-233.4
792.7305537469274,322.97853595912784,-427.5,-58.4
627.0,355.0,-427.5,116.6
461.2694462530726,387.02146404087216,-427.5,291.6
1010.1347231265364,195.5107320204361,-257.5,-408.4
342.1347231265363,289.5107320204361,-257.5,291.6
879.0000000000001,128.00000000000003,-87.5,-408.4
223.0,192.0,-87.5,291.6
461.4258616311772,98.95363231735118,87.5,-58.4
