pointx,pointy,valuex,valuey
145.0,147.0,-257.5,-233.4
226.0,191.0,-87.5,-233.4
322.0,244.0,87.5,-233.4
434.0,305.0,257.5,-233.4
308.0,109.0,-257.5,-58.4
500.0,199.0,87.5,-58.4
622.0,247.0,257.5,-58.4
789.0,186.0,257.5,116.6
660.0,138.0,87.5,116.6
550.0,99.0,-87.5,116.6
-85.39130434782606,141.3478260869565,-427.5,-408.4
64.0,103.0,-427.5,-233.4
213.3913043478261,64.65217391304347,-427.5,-58.4
-17.999999999999943,185.0,-257.5,-408.4
49.39130434782618,228.6521739130435,-87.5,-408.4
402.6086956521739,153.34782608695653,-87.5,-58.4
144.00000000000006,289.0,87.5,-408.4
820.0,77.0,87.5,291.6
246.0000000000001,363.0,257.5,-408.4
956.0,125.0,257.5,291.6
348.0000000000002,437.00000000000006,427.5,-408.4
546.0,366.0,427.5,-233.4
744.0,295.0,427.5,-58.4
918.0,234.0,427.5,116.6
1092.0,173.0,427.5,291.6
