pointx,pointy,valuex,valuey
980.0,320.0,0.0,0.0
826.0,302.0,175.0,0.0
689.0,292.0,350.0,0.0
568.0,280.0,525.0,0.0
461.0,273.0,700.0,0.0
878.0,387.0,0.0,175.0
719.0,370.0,175.0,175.0
350.0,325.0,700.0,175.0
598.0,445.0,175.0,350.0
460.0,426.0,350.0,350.0
338.0,401.0,525.0,350.0
229.0,383.0,700.0,350.0
621.0,568.0,0.0,525.0
455.0,525.0,175.0,525.0
196.0,468.0,525.0,525.0
95.0,450.0,700.0,525.0
761.0,468.0,0.0,350.0
458.5752388789574,338.8407824275072,525.0,175.0
314.17240425941486,493.745284242587,350.0,525.0
580.150940738193,354.34670528812586,350.0,175.0
1231.0,272.0,-175.0,-175.0
1134.0,338.0,-175.0,0.0
1037.0,404.0,-175.0,175.0
924.0,491.0,-175.0,350.0
787.0,611.0,-175.0,525.0
650.0,731.0,-175.0,700.0
1082.0,253.0,0.0,-175.0
481.0,668.0,0.0,700.0
933.0,234.0,175.0,-175.0
312.0,605.0,175.0,700.0
797.849059261807,229.65329471187414,350.0,-175.0
168.34480851882972,561.490568485174,350.0,700.0
677.4247611210426,221.15921757249282,525.0,-175.0
54.0,535.0,525.0,700.0
572.0,221.0,700.0,-175.0
-39.0,517.0,700.0,700.0
466.5752388789574,220.84078242750718,875.0,-175.0
354.0,266.0,875.0,0.0
241.4247611210426,311.1592175724928,875.0,175.0
120.0,365.0,875.0,350.0
-6.0,432.0,875.0,525.0
-132.0,499.0,875.0,700.0
