Frame,pointx,pointy,X,Y
72,904,407,-50.367927385738284,204.25503097543535
73,860,433,-43.38004884688127,262.56610728203714
74,814,457,-33.35371783354889,316.1186945419445
75,762,475,-10.232499900572808,357.5825640165716
76,679,500,29.709120045082187,414.15199139146415
77,601,514,76.60864654340774,455.47002511950285
78,531,534,103.92506615066206,508.4393448442899
79,477,542,133.1372231147077,540.5356104081658
80,419,544,177.37289927568509,565.1544252974803
81,357,554,216.4234337730357,603.6785264583616
82,263,543,318.0822786107841,626.4651834840524
83,211,526,396.2388478024151,619.7783326513064
86,192,515,435.45436166037456,608.4102105258468
86,178,494,494.41893923914046,575.8482224068415
86,172,481,530.307709124062,554.0921334212939
87,172,454,591.9138486521346,504.07468644601977
