Frame,pointx,pointy,X,Y
63,1055,397,-158.02217752598798,115.2883593018936
64,1029,371,-104.12618242365404,75.15918354102365
65,1002,348,-51.75439379919004,39.52168635806238
66,969,331,1.0148343706671876,14.325210613492565
67,936,311,58.401890660831505,-17.74209370931272
68,907,296,108.00400708937875,-42.53521099595703
69,879,287,150.32600075952894,-56.516500668696445
70,848,279,197.62843687638704,-69.10372862082724
71,798,263,287.88783819095676,-98.37351241519856
72,769,266,319.2078133458319,-88.20835627542415
73,727,261,380.44784208387784,-91.91399466862197
74,695,258,424.2068256234758,-91.22291989788312
