pointx,pointy,valuex,valuey
277.0,355.0,0.0,0.0
150.0,261.0,-250.0,0.0
52.0,200.0,-500.0,0.0
443.0,459.0,250.0,0.0
711.0,376.0,250.0,250.0
936.0,486.0,500.0,250.0
1158.0,383.0,500.0,500.0
928.0,298.0,250.0,500.0
390.0,210.0,-250.0,250.0
271.0,142.0,-500.0,250.0
-244.0,204.0,-750.0,-250.0
-46.0,139.0,-750.0,0.0
152.0,74.0,-750.0,250.0
-167.0,258.0,-500.0,-250.0
-90.0,312.0,-250.0,-250.0
3.5,417.0,0.0,-250.0
175.0,542.0,250.0,-250.0
1380.0,280.0,500.0,750.0
1388.0,468.0,750.0,500.0
1615.0,340.0,750.0,750.0
506.0,325.0,0.0,250.0
770.9922083881004,218.1377830637473,0.0,500.0
