pointx,pointy,valuex,valuey
280.0,354.0,0.0,0.0
438.0,458.0,250.0,0.0
711.0,372.0,250.0,250.0
934.0,484.0,500.0,250.0
1157.0,381.0,500.0,500.0
926.0,295.0,250.0,500.0
151.0,260.0,-250.0,0.0
47.0,201.0,-500.0,0.0
386.0,207.0,-250.0,250.0
267.0,142.0,-500.0,250.0
-262.0,207.0,-750.0,-250.0
-57.0,142.0,-750.0,0.0
148.0,77.0,-750.0,250.0
-173.0,260.0,-500.0,-250.0
-84.0,313.0,-250.0,-250.0
11.5,418.5,0.0,-250.0
548.5,289.5,0.0,250.0
165.0,544.0,250.0,-250.0
1380.0,278.0,500.0,750.0
1388.0,467.0,750.0,500.0
1619.0,338.0,750.0,750.0
