Frame,pointx,pointy,X,Y
49,1255,130,-423.2371008019206,-24.35909110605005
49,1260,136,-431.63411776232033,-11.21702081431848
49,1262,145,-442.9186635253756,13.90876019762355
49,1263,149,-446.9844339002605,24.756009778406185
50,1263,170,-446.96484518316146,82.95072378625464
51,1262,200,-470.97263577345973,164.0170385744297
52,1263,221,-484.87436484729017,209.68898912270006
53,1265,237,-492.9598352147051,238.63444725820054
54,1264,252,-497.16970994499627,263.01965333257334
55,1265,265,-502.02254881692045,283.82086328700035
56,1265,292,-509.9323385601876,326.42842777106
57,1245,331,-505.719427805233,388.0551786305831
57,1220,352,-493.5914319795617,422.6569975086603
58,1164,383,-464.4520803706242,477.9871079945049
59,1122,403,-444.2272201308764,514.187955505868
60,1061,424,-414.27628829760226,555.6754182828844
61,984,441,-373.3911849948593,594.9987829718017
62,913,456,-333.5398066855568,632.8431072757958
63,861,468,-305.60045537623034,663.2955568383519
64,787,482,-263.8740368377174,702.78543377859
65,725,491,-226.46369976774957,732.2420473206405
66,674,499,-195.21523384265876,757.493002406765
67,600,502,-144.03318230030735,779.8781665735797
68,521,504,-88.68929741883441,802.1916186378913
69,439,501,-27.712503208073645,817.2090591002558
71,323,474,72.26488485108341,799.5587993349124
72,253,457,134.8765536376212,786.1874683275795
73,230,448,158.34837952736933,775.6362805116613
74,189,427,204.7050203241023,747.7813361412352
75,141,407,255.9465796665941,723.2074515652673
76,109,394,290.03816954393295,707.3647892667946
77,91,382,314.2478812750173,689.5050214112491
78,78,370,335.62899664180344,670.0618725258378
79,63,346,372.41460248113066,627.5417571625443
80,50,332,397.6435890848275,603.3442737425929
81,44,317,419.96938366892624,575.0128147754116
