Frame,pointx,pointy,X,Y
49,1255,130,-423.2371008019206,-24.35909110605005
49,1260,136,-431.63411776232033,-11.21702081431848
49,1262,145,-442.9186635253756,13.90876019762355
49,1263,149,-446.9844339002605,24.756009778406185
50,1263,170,-446.96484518316146,82.95072378625464
51,1262,200,-470.97263577345973,164.0170385744297
52,1263,221,-484.87436484729017,209.68898912270006
53,1265,237,-492.9598352147051,238.63444725820054
54,1264,252,-497.16970994499627,263.01965333257334
55,1265,265,-502.02254881692045,283.82086328700035
56,1265,292,-509.9323385601876,326.42842777106
57,1234,334,-498.66469568387714,393.5769590521105
57,1212,347,-486.79516325330246,415.8637290806273
58,1165,376,-463.19096779227385,467.21424195056636
59,1110,394,-433.6223020470527,501.94501400814573
60,1047,411,-401.1445609051774,537.2989287412909
61,958,426,-351.2961740713862,575.2838816797566
62,886,437,-308.4414437495856,606.794230743787
63,817,448,-267.470929219623,639.2266628747208
64,756,455,-228.21675997084483,664.4980817199587
65,709,459,-196.86195033133953,682.2248377508934
