Frame,pointx,pointy,X,Y
14,658,273,-5.11110252587263,361.1446279159084
14,718,274,-58.64653432936456,352.8330856827616
15,771,276,-107.56518116484509,346.76847379811136
16,823,278,-155.321765369326,341.31921008601694
17,877,280,-203.8726637616863,336.2839628363553
18,935,280,-251.94227714396595,328.69216939469624
19,991,280,-295.4739268261367,322.7039824228915
20,1047,280,-338.5881993256618,316.74124857679107
21,1103,283,-381.9409641608093,316.2186557941603
22,1163,285,-426.62298569814925,314.3463073396609
23,1198,293,-454.6231571930456,324.82745401200015
24,1230,297,-478.93176226332486,329.25908584630093
