Frame,pointx,pointy,X,Y
20,1270,369,-533.4115359261123,441.8951820120733
21,1201,401,-494.10703287063393,496.73327346266274
22,1111,427,-445.5193525982394,547.396018365417
23,1066,436,-421.7128277814844,566.9748139592159
24,1001,453,-388.8671822123044,602.3876395869337
25,939,461,-353.1821390090009,625.7123894654401
26,850,462,-298.5175902851469,644.4047413976253
27,779,471,-256.0968145969023,674.1658183002801
28,716,474,-213.60480081184417,693.9558523037657
29,651,473,-166.33792458316182,707.1490917779798
30,608,470,-132.22789630032923,711.9830426702006
31,563,468,-96.7066775382359,718.9496534753714
32,532,467,-72.44309146989393,724.39730891779
33,497,467,-46.04607810344023,732.4746009867495
34,458,464,-15.031379314676418,736.3643429451109
37,341,450,73.99662528844185,738.3578302953761
38,240,436,155.13669095132258,737.6792464497098
39,182,420,211.59143806018332,724.8592858410843
40,156,408,244.35958288061804,710.9000633570652
41,120,392,292.6139267296492,693.0109480383725
42,95,377,331.9957774422737,673.7382402675113
43,83,355,370.55714481900577,637.7654164391915
44,77,342,393.0744113039908,616.057564066842
45,69,320,430.23334603241267,578.4517769724904
46,66,302,458.1963236127134,546.3963379643708
47,69,294,466.89893504229667,530.7737751782682
49,72,270,498.81233382925114,485.5393926783818
50,94,228,545.7491486478982,398.9049279349217
51,124,225,521.5765716213732,384.804551396313
