Frame,pointx,pointy,X,Y
41,1046,388,-391.9130123575745,496.88774691882946
42,991,376,-351.2742758360865,485.4821504202757
43,938,367,-311.49986473498535,478.5012632937463
44,887,353,-268.1397067085895,463.78652882691097
45,843,342,-228.31339305607273,452.6020698397347
46,791,329,-178.1680015030912,441.20061218709486
47,758,316,-141.34116025582534,426.12676237742767
48,719,303,-97.92651110848847,411.7484049594521
49,686,289,-57.41826435965247,393.96450727059045
50,649,282,-18.862594130321522,387.1925230464184
53,536,243,114.29878792906855,324.3234590365012
54,504,234,149.95094224045303,314.00416361677935
55,473,221,189.64091550006466,295.7911978670565
56,441,207,232.391784716156,276.25173355306504
