Frame,pointx,pointy,X,Y
46,429,202,-263.83605040227144,297.6425619901297
47,422,219,-228.83417193543377,277.0034608703914
48,416,237,-197.25394648262804,257.0542584889297
49,410,253,-170.12511031142182,238.7718384613633
50,406,270,-139.5620830894973,220.07291365975763
51,399,285,-113.09533698716535,198.906839805014
52,388,302,-83.18057597033993,170.49845263042604
53,380,326,-38.44016639581385,136.50528151625156
54,372,348,2.8462481078477384,102.48331843169233
55,368,364,33.37297614659713,78.38461141320568
56,359,386,74.16090401022814,41.4699916391835
57,348,412,120.22662921187316,-0.34193730992060006
