Frame,pointx,pointy,X,Y
25,169,411,229.45587885998677,721.122894732781
35,576,464,-96.94810409635242,716.9637064841256
35,650,454,-145.00657599302923,681.3679825885945
35,710,450,-186.6224572103059,660.4946403394443
35,760,443,-220.55898154796526,637.2864088677137
36,831,432,-267.2819944236443,603.6398447159938
37,874,424,-293.1167269442257,581.668552842646
38,936,416,-331.5412129055464,556.7639133244763
41,1130,389,-443.5762476286916,484.8860662686168
42,1193,367,-478.3497706180785,442.55044661084855
43,1229,340,-495.28829407014484,397.1377098122992
44,1243,304,-494.7860159857721,340.3941381101086
